dateRep,cases,deaths,countriesAndTerritories
31/03/2020,31,1,Cuba
30/03/2020,20,0,Cuba
29/03/2020,39,1,Cuba
28/03/2020,13,0,Cuba
27/03/2020,10,1,Cuba
26/03/2020,9,0,Cuba
25/03/2020,8,0,Cuba
24/03/2020,5,0,Cuba
23/03/2020,10,0,Cuba
22/03/2020,4,0,Cuba
21/03/2020,5,0,Cuba
20/03/2020,5,0,Cuba
19/03/2020,4,1,Cuba
18/03/2020,3,0,Cuba
15/03/2020,0,0,Cuba
14/03/2020,1,0,Cuba
12/03/2020,3,0,Cuba
06/04/2020,0,0,Cura?§ao
05/04/2020,0,0,Cura?§ao
04/04/2020,0,0,Cura?§ao
03/04/2020,0,0,Cura?§ao
02/04/2020,0,0,Cura?§ao
01/04/2020,2,0,Cura?§ao
30/03/2020,1,0,Cura?§ao
29/03/2020,0,0,Cura?§ao
28/03/2020,1,0,Cura?§ao
27/03/2020,1,0,Cura?§ao
26/03/2020,0,1,Cura?§ao
24/03/2020,3,0,Cura?§ao
20/03/2020,2,0,Cura?§ao
13/03/2020,1,0,Cura?§ao
06/04/2020,20,3,Cyprus
05/04/2020,30,0,Cyprus
04/04/2020,40,2,Cyprus
03/04/2020,36,0,Cyprus
02/04/2020,58,1,Cyprus
01/04/2020,32,1,Cyprus
31/03/2020,16,1,Cyprus
30/03/2020,35,1,Cyprus
29/03/2020,17,0,Cyprus
28/03/2020,16,2,Cyprus
27/03/2020,14,0,Cyprus
26/03/2020,8,0,Cyprus
25/03/2020,8,3,Cyprus
24/03/2020,21,0,Cyprus
23/03/2020,11,0,Cyprus
22/03/2020,17,0,Cyprus
21/03/2020,9,0,Cyprus
20/03/2020,0,0,Cyprus
19/03/2020,18,0,Cyprus
18/03/2020,0,0,Cyprus
17/03/2020,10,0,Cyprus
16/03/2020,9,0,Cyprus
15/03/2020,7,0,Cyprus
14/03/2020,8,0,Cyprus
12/03/2020,4,0,Cyprus
10/03/2020,2,0,Cyprus
06/04/2020,115,8,Czech_Republic
05/04/2020,282,6,Czech_Republic
04/04/2020,332,9,Czech_Republic
03/04/2020,269,5,Czech_Republic
02/04/2020,281,8,Czech_Republic
01/04/2020,306,7,Czech_Republic
31/03/2020,173,8,Czech_Republic
30/03/2020,166,5,Czech_Republic
29/03/2020,384,2,Czech_Republic
28/03/2020,217,0,Czech_Republic
27/03/2020,408,3,Czech_Republic
26/03/2020,260,3,Czech_Republic
25/03/2020,158,2,Czech_Republic
24/03/2020,71,0,Czech_Republic
23/03/2020,170,1,Czech_Republic
22/03/2020,91,0,Czech_Republic
21/03/2020,210,0,Czech_Republic
20/03/2020,172,0,Czech_Republic
19/03/2020,88,0,Czech_Republic
18/03/2020,90,0,Czech_Republic
17/03/2020,46,0,Czech_Republic
